**** n.s. = 'not selected' ******** n.a. = not above minScore matrix is resorted
/home/guest/Documents/Kevan/FrompSourceNewPathayScoreMatrix

 ,OverAll,ERR771019_MERGED_FASTQ_InterPro.txt.tsv,ERR771060_MERGED_FASTQ_InterPro.tsv,ERR771064_MERGED_FASTQ_InterPro.tsv,ERR771070_MERGED_FASTQ_InterPro.tsv
ec00010,Glycolysis / Gluconeogenesis,25.079465442531685,13.993345389683546,18.164581716992693,18.833764024674295,25.079465442531685
ec00020,Citrate cycle (TCA cycle),29.99062785068059,12.18369256433899,29.99062785068059,29.99062785068059,29.99062785068059
ec00030,Pentose phosphate pathway,47.71628690913864,30.314688791881743,33.21495517140436,43.57304926978598,39.429811630433335
ec00040,Pentose and glucuronate interconversions,17.300137260110578,13.679178298692083,7.644246696327929,13.679178298692083,14.886164619164912
ec00051,Fructose and mannose metabolism,22.89970537773465,9.48832415738175,13.561648831647682,18.39167808262293,22.89970537773465
ec00052,Galactose metabolism,29.323013658372503,29.323013658372503,18.448123878335636,21.093367346927433,29.323013658372503
ec00053,Ascorbate and aldarate metabolism,2.3133375510411494,2.3133375510411494,0.5783343877602873,2.3133375510411494,2.3133375510411494
ec00061,Fatty acid biosynthesis,19.177234323860727,8.52321528550226,8.52321528550226,12.074554964955082,19.177234323860727
ec00062,Fatty acid elongation in mitochondria,4.357846267024856,4.357846267024856,4.357846267024856,4.357846267024856,4.357846267024856
ec00071,Fatty acid metabolism,3.8980544668158665,1.7397357134852773,1.7397357134852773,3.8980544668158665,3.8980544668158665
ec00072,Synthesis and degradation of ketone bodies,52.17391304347826,39.130434782608695,39.130434782608695,52.17391304347826,52.17391304347826
ec00100,Steroid biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00120,Primary bile acid biosynthesis,0.6451612965062805,0.6451612965062805,0.6451612965062805,0.6451612965062805,0.6451612965062805
ec00121,Secondary bile acid biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,19.062538853411777,4.765634713352944,14.296904140058833,19.062538853411777,19.062538853411777
ec00140,Steroid hormone biosynthesis,3.2187749141386974,3.2187749141386974,3.2187749141386974,3.2187749141386974,3.2187749141386974
ec00190,Oxidative phosphorylation,58.13953483900035,48.17275743802887,58.13953483900035,58.13953483900035,58.13953483900035
ec00195,Photosynthesis,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
ec00196,Photosynthesis - antenna proteins,0.0,n.a.,n.a.,n.a.,n.a.
ec00230,Purine metabolism,34.820518426642025,21.38827096235875,25.727920143127193,28.62101959697282,32.96066877774126
ec00231,Puromycin biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00232,Caffeine metabolism,12.904739541717245,12.904739541717245,5.161895816686898,12.904739541717245,12.904739541717245
ec00240,Pyrimidine metabolism,32.270168855534706,20.26266416510319,29.268292682926827,32.270168855534706,32.270168855534706
ec00250,Alanine, aspartate and glutamate metabolism,21.740754589554843,7.097497197128677,18.0052297489608,21.292491591386035,21.740754589554843
ec00253,Tetracycline biosynthesis,9.164171042991489,9.164171042991489,9.164171042991489,9.164171042991489,9.164171042991489
ec00260,Glycine, serine and threonine metabolism,19.816562668106847,12.413393969995164,13.086409306187136,19.816562668106847,18.021855104928257
ec00270,Cysteine and methionine metabolism,26.121103234965286,15.48520940047045,22.86105915065572,19.76401726112676,26.121103234965286
ec00280,Valine, leucine and isoleucine degradation,13.222789680169559,4.029979446887374,4.029979446887374,13.222789680169559,7.094249524648101
ec00281,Geraniol degradation,7.1370676424995265,2.759312416881761,7.1370676424995265,7.1370676424995265,7.1370676424995265
ec00290,Valine, leucine and isoleucine biosynthesis,45.094936675820534,30.854430357140366,40.348101236260476,45.094936675820534,45.094936675820534
ec00300,Lysine biosynthesis,19.07859078510981,4.7696476962774526,17.48870821968399,19.07859078510981,19.07859078510981
ec00310,Lysine degradation,3.1403200905253787,3.1403200905253787,0.4274781318221849,3.1403200905253787,3.1403200905253787
ec00311,Penicillin and cephalosporin biosynthesis,3.9215686274509802,n.a.,3.9215686274509802,n.a.,3.9215686274509802
ec00312,beta-Lactam resistance,100.0,n.a.,100.0,n.a.,100.0
ec00330,Arginine and proline metabolism,23.36909131072481,16.35385250626363,20.662246757963935,21.880326801483758,22.01566903434437
ec00331,Clavulanic acid biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00340,Histidine metabolism,27.637577651213206,10.629837558158926,25.51161013958142,27.637577651213206,27.637577651213206
ec00350,Tyrosine metabolism,6.8126791696327444,3.6610191697392853,4.902582206700947,5.093591891938134,4.902582206700947
ec00351,DDT degradation,0.0,n.a.,n.a.,n.a.,n.a.
ec00360,Phenylalanine metabolism,2.8311565663434077,0.5551287359785605,1.1657703584077261,1.3878218399464013,2.276027830364847
ec00361,Chlorocyclohexane and chlorobenzene degradation,6.786157884529177,2.714463153811671,2.714463153811671,4.071694730717507,2.714463153811671
ec00362,Benzoate degradation,8.339118090360277,2.243271551649836,7.363782644166605,8.339118090360277,5.413111751779265
ec00363,Bisphenol degradation,22.09916462592756,22.09916462592756,n.a.,n.a.,n.a.
ec00364,Fluorobenzoate degradation,2.3493387099202074,2.3493387099202074,2.3493387099202074,2.3493387099202074,2.3493387099202074
ec00380,Tryptophan metabolism,9.376517643433342,2.0844890149998268,5.730503329216584,9.376517643433342,9.376517643433342
ec00400,Phenylalanine, tyrosine and tryptophan biosynthesis,54.3718555013757,31.128924896198306,46.070808862389484,49.80627983391729,54.3718555013757
ec00401,Novobiocin biosynthesis,39.56043971421332,n.a.,39.56043971421332,32.96703288315637,39.56043971421332
ec00402,Benzoxazinoid biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00410,beta-Alanine metabolism,13.498622591792616,1.5880732518865643,12.36428455942061,13.498622591792616,12.36428455942061
ec00430,Taurine and hypotaurine metabolism,23.245614139010176,8.333333389748383,5.701754513641074,18.859649232667902,23.245614139010176
ec00440,Phosphonate and phosphinate metabolism,0.0,n.a.,n.a.,n.a.,n.a.
ec00450,Selenocompound metabolism,31.233988043827537,21.370623398408313,31.233988043827537,31.233988043827537,31.233988043827537
ec00460,Cyanoamino acid metabolism,5.139257328843012,2.238063697131818,3.481432396436616,5.139257328843012,5.139257328843012
ec00471,D-Glutamine and D-glutamate metabolism,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
ec00472,D-Arginine and D-ornithine metabolism,0.0,n.a.,n.a.,n.a.,n.a.
ec00473,D-Alanine metabolism,31.91489356461581,31.91489356461581,31.91489356461581,31.91489356461581,31.91489356461581
ec00480,Glutathione metabolism,24.606580829756798,19.170243204577968,24.606580829756798,21.17310443490701,21.17310443490701
ec00500,Starch and sucrose metabolism,32.70647800194466,20.365263775127485,13.448759093326412,25.111884631595633,30.807829659357406
ec00510,N-Glycan biosynthesis,13.81957773512476,2.3032629558541267,n.a.,11.516314779270633,11.516314779270633
ec00511,Other glycan degradation,52.87958120895113,37.17277494526818,21.465968681585217,52.87958120895113,29.3193718134267
ec00512,Mucin type O-Glycan biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00513,Various types of N-glycan biosynthesis,9.762900969984997,5.578800554277141,1.3947001385692852,5.578800554277141,5.578800554277141
ec00514,Other types of O-glycan biosynthesis,16.172506728451815,n.a.,n.a.,n.a.,16.172506728451815
ec00520,Amino sugar and nucleotide sugar metabolism,17.407933745251537,7.476134557573526,11.077776017025473,15.879964639454919,17.407933745251537
ec00521,Streptomycin biosynthesis,11.11111112930069,6.868686888860766,5.6565656539199,11.11111112930069,11.11111112930069
ec00522,Biosynthesis of 12-, 14- and 16-membered macrolides,0.0,n.a.,n.a.,n.a.,n.a.
ec00523,Polyketide sugar unit biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00524,Butirosin and neomycin biosynthesis,10.426779435178934,10.426779435178934,5.614419645869743,10.426779435178934,10.426779435178934
ec00531,Glycosaminoglycan degradation,26.336375533390203,18.51368974932545,18.51368974932545,26.336375533390203,26.336375533390203
ec00532,Glycosaminoglycan biosynthesis - chondroitin sulfate,0.0,n.a.,n.a.,n.a.,n.a.
