**** n.s. = 'not selected' ******** n.a. = not above minScore matrix is resorted
/home/guest/Documents/Kevan/FrompSourceNew/projects/oxic-sulfidic-example.frpPathayScoreMatrix

 ,OverAllOxic surface,Oxycline,Sulfidic 1,Sulfidic 2,
ec00010,Glycolysis / Gluconeogenesis,28.319423125347743,16.837370129546727,21.5532466043986,27.650240817666145,27.538710448115573
ec00020,Citrate cycle (TCA cycle),51.45267099311952,34.11433926694481,43.95501403044938,42.080599789781836,51.45267099311952
ec00030,Pentose phosphate pathway,41.402781946306895,14.846601541013662,31.044687847925275,35.28657399108069,35.878465093836695
ec00040,Pentose and glucuronate interconversions,14.886164619164912,n.a.,4.626780895145852,9.253561790291704,11.667534431237364
ec00051,Fructose and mannose metabolism,19.948020833055956,3.1931860007041366,11.30763518409182,9.053621536535958,17.318338244240785
ec00052,Galactose metabolism,15.949838402274267,1.371607718574178,7.925933216858853,9.39551290398959,12.177917176195278
ec00053,Ascorbate and aldarate metabolism,13.590858112366751,2.3133375510411494,6.650845459243304,4.915842295962443,6.072511071483017
ec00061,Fatty acid biosynthesis,40.48527240057766,15.625894644407905,19.177234323860727,40.48527240057766,33.38259304167202
ec00062,Fatty acid elongation in mitochondria,32.013408792222485,29.49926672022339,32.013408792222485,4.357846267024856,4.357846267024856
ec00071,Fatty acid metabolism,22.783343558458526,9.244798645524488,22.063903994836238,16.308387298466755,16.308387298466755
ec00072,Synthesis and degradation of ketone bodies,95.65217391304348,43.47826086956522,43.47826086956522,43.47826086956522,43.47826086956522
ec00100,Steroid biosynthesis,21.012416427501993,8.404966571000799,4.202483285500399,4.202483285500399,4.202483285500399
ec00120,Primary bile acid biosynthesis,14.838709682719669,n.a.,7.741935489612975,14.838709682719669,14.838709682719669
ec00121,Secondary bile acid biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,25.416718471215706,6.3541796178039265,15.885449044509818,11.11981433115687,15.885449044509818
ec00140,Steroid hormone biosynthesis,4.828162371208046,n.a.,4.828162371208046,4.828162371208046,4.828162371208046
ec00190,Oxidative phosphorylation,73.08970094045759,53.156146138514615,53.156146138514615,63.122923539486095,73.08970094045759
ec00195,Photosynthesis,100.0,57.14285714285714,100.0,100.0,100.0
ec00196,Photosynthesis - antenna proteins,0.0,n.a.,n.a.,n.a.,n.a.
ec00230,Purine metabolism,46.57004478343259,21.594920923347726,33.13779731914932,36.47371811455381,40.99049583673031
ec00231,Puromycin biosynthesis,0.0,n.a.,n.a.,n.a.,n.a.
ec00232,Caffeine metabolism,7.742843725030346,n.a.,7.742843725030346,n.a.,n.a.
ec00240,Pyrimidine metabolism,48.96810506566604,20.45028142589118,36.02251407129456,42.21388367729831,46.71669793621013
ec00250,Alanine, aspartate and glutamate metabolism,24.280911463861266,18.3040717189108,20.91893910732663,19.424729171089012,23.160254011683055
ec00253,Tetracycline biosynthesis,9.164171042991489,9.164171042991489,9.164171042991489,9.164171042991489,9.164171042991489
