Pathway	s1.txt
ec00010-Glycolysis-Gluconeogenesis	6.557986561052799
ec00020-Citrate-cycle-TCA-cycle-	11.246485444005222
ec00030-Pentose-phosphate-pathway	6.007694609037104
ec00040-Pentose-and-glucuronate-interconversions	0.0
ec00051-Fructose-and-mannose-metabolism	1.0143061587956652
ec00052-Galactose-metabolism	0.0
ec00053-Ascorbate-and-aldarate-metabolism	0.0
ec00061-Fatty-acid-biosynthesis	14.20535871781129
ec00062-Fatty-acid-elongation-in-mitochondria	1.8437041950257562
ec00071-Fatty-acid-metabolism	0.43166375691249087
ec00072-Synthesis-and-degradation-of-ketone-bodies	0.0
ec00100-Steroid-biosynthesis	0.0
ec00120-Primary-bile-acid-biosynthesis	0.0
ec00121-Secondary-bile-acid-biosynthesis	0.0
ec00130-Ubiquinone-and-other-terpenoid-quinone-biosynthesis	4.765634713352944
ec00140-Steroid-hormone-biosynthesis	0.0
ec00190-Oxidative-phosphorylation	13.289036534628654
ec00195-Photosynthesis	14.285714285714285
ec00196-Photosynthesis-antenna-proteins	0.0
ec00230-Purine-metabolism	7.336073615108557
ec00231-Puromycin-biosynthesis	0.0
ec00232-Caffeine-metabolism	0.0
ec00240-Pyrimidine-metabolism	14.258911819887429
ec00250-Alanine-aspartate-and-glutamate-metabolism	6.425102743119275
ec00253-Tetracycline-biosynthesis	0.0
ec00260-Glycine-serine-and-threonine-metabolism	7.178830252714359
ec00270-Cysteine-and-methionine-metabolism	10.228388323956139
ec00280-Valine-leucine-and-isoleucine-degradation	0.40856934961361663
ec00281-Geraniol-degradation	1.1674014103909058
ec00290-Valine-leucine-and-isoleucine-biosynthesis	9.493670879120113
ec00300-Lysine-biosynthesis	0.0
ec00310-Lysine-degradation	0.18085613319728427
ec00311-Penicillin-and-cephalosporin-biosynthesis	0.0
ec00312-beta-Lactam-resistance	0.0
ec00330-Arginine-and-proline-metabolism	8.819801839635096
ec00331-Clavulanic-acid-biosynthesis	0.0
ec00340-Histidine-metabolism	4.25193502326357
ec00350-Tyrosine-metabolism	0.7640387962287117
ec00351-DDT-degradation	0.0
ec00360-Phenylalanine-metabolism	1.9984634623755666
ec00361-Chlorocyclohexane-and-chlorobenzene-degradation	2.714463153811671
ec00362-Benzoate-degradation	0.19506709206144457
ec00363-Bisphenol-degradation	0.0
